matrix_size,run_1,run_2,run_3
128,0.001111,0.001075,0.001088
256,0.010776,0.010714,0.010701
512,0.141241,0.141253,0.141175
768,0.342659,0.344318,0.344312
1024,1.191622,1.159545,1.159599
2048,9.532275,9.517678,9.514660
4096,223.838415,224.787827,224.720796
