matrix_size,run_1,run_2,run_3
128,0.000247,0.000248,0.000242
256,0.001886,0.001859,0.001855
512,0.016021,0.015809,0.015750
768,0.054250,0.054268,0.054231
1024,0.129078,0.127700,0.127720
2048,0.990879,0.984086,0.983957
4096,14.739424,14.774638,14.718535
