matrix_size,run_1,run_2,run_3
128,0.000534,0.000245,0.000234
256,0.000935,0.000950,0.000943
512,0.003400,0.003365,0.003372
768,0.007428,0.007671,0.007524
1024,0.017085,0.018321,0.012861
2048,0.080207,0.080328,0.080311
4096,0.932509,0.935607,0.935928
