matrix_size,run_1,run_2,run_3
128,0.001445,0.001413,0.001433
256,0.015010,0.014948,0.014941
512,0.200838,0.199533,0.199479
768,0.515542,0.525833,0.524753
1024,1.924889,1.963611,1.963502
2048,16.471218,16.465150,16.472549
4096,462.263166,461.349623,480.850461
