matrix_size,run_1,run_2,run_3
128,0.001057,0.001066,0.001066
256,0.014999,0.014894,0.014890
512,0.195803,0.195056,0.195027
768,0.491924,0.509239,0.509168
1024,1.876006,1.935306,1.935373
2048,17.348599,17.171967,17.325283
4096,417.185838,418.695189,417.556457
