matrix_size,run_1,run_2,run_3
128,0.000528,0.000236,0.000234
256,0.000932,0.000934,0.000936
512,0.003419,0.003375,0.003389
768,0.007354,0.007517,0.007486
1024,0.012886,0.013037,0.013024
2048,0.080105,0.080191,0.080072
4096,0.935743,0.938703,0.937801
