matrix_size,run_1,run_2,run_3
128,0.000223,0.000218,0.000217
256,0.001736,0.001695,0.001683
512,0.013743,0.013838,0.013785
768,0.046262,0.046788,0.047050
1024,0.110424,0.113610,0.113803
2048,0.899915,0.912364,0.896353
4096,10.632929,10.628688,10.641879
