matrix_size,run_1,run_2,run_3
128,0.001049,0.001043,0.001041
256,0.015057,0.014897,0.014901
512,0.198633,0.200151,0.200189
768,0.486534,0.489840,0.489701
1024,1.948731,1.936210,1.941508
2048,16.758843,16.666936,16.639254
4096,440.630591,438.182129,440.685488
