matrix_size,run_1,run_2,run_3
128,0.000512,0.000222,0.000219
256,0.000661,0.000680,0.000679
512,0.002085,0.002068,0.002105
768,0.004935,0.004984,0.004906
1024,0.009706,0.009872,0.009806
2048,0.063097,0.062671,0.063306
4096,0.830468,0.831413,0.831378
