matrix_size,run_1,run_2,run_3
128,0.001014,0.001027,0.001027
256,0.014044,0.013999,0.014003
512,0.200226,0.198216,0.198369
768,0.491213,0.490680,0.490671
1024,1.833021,1.947734,1.947889
2048,16.090379,16.207102,16.151162
4096,421.963009,415.713324,421.226114
